estacion,fecha,numero
Alfonso XIII,09/02/2024,9.742
Alfonso XIII,10/02/2024,4.960
Alfonso XIII,11/02/2024,2.983
Avenida de la Paz,05/02/2024,4.012
Avenida de la Paz,06/02/2024,4.321
Avenida de la Paz,07/02/2024,4.386
Avenida de la Paz,08/02/2024,4.229
Avenida de la Paz,09/02/2024,4.080
Avenida de la Paz,10/02/2024,1.955
Avenida de la Paz,11/02/2024,1.166
Arturo Soria,05/02/2024,7.219
Arturo Soria,06/02/2024,7.522
Arturo Soria,07/02/2024,7.673
Arturo Soria,08/02/2024,7.574
Arturo Soria,09/02/2024,7.367
Arturo Soria,10/02/2024,3.620
Arturo Soria,11/02/2024,2.311
Esperanza,05/02/2024,5.904
Esperanza,06/02/2024,6.214
Esperanza,07/02/2024,6.121
Esperanza,08/02/2024,5.998
Esperanza,09/02/2024,5.989
Esperanza,10/02/2024,3.258
Esperanza,11/02/2024,2.062
Canillas,05/02/2024,7.440
Canillas,06/02/2024,7.847
Canillas,07/02/2024,8.002
Canillas,08/02/2024,7.815
Canillas,09/02/2024,9.747
Canillas,10/02/2024,6.446
Canillas,11/02/2024,4.008
San Lorenzo,05/02/2024,5.413
San Lorenzo,06/02/2024,5.973
San Lorenzo,07/02/2024,5.917
San Lorenzo,08/02/2024,5.861
San Lorenzo,09/02/2024,5.290
San Lorenzo,10/02/2024,2.853
San Lorenzo,11/02/2024,1.860
Parque de Santa María,05/02/2024,4.059
Parque de Santa María,06/02/2024,4.259
Parque de Santa María,07/02/2024,4.315
Parque de Santa María,08/02/2024,4.317
Parque de Santa María,09/02/2024,4.354
Parque de Santa María,10/02/2024,3.134
Parque de Santa María,11/02/2024,2.081
Hortaleza,05/02/2024,5.072
Hortaleza,06/02/2024,5.060
Hortaleza,07/02/2024,5.100
Hortaleza,08/02/2024,4.849
Hortaleza,09/02/2024,5.089
Hortaleza,10/02/2024,3.233
Hortaleza,11/02/2024,2.227
Manoteras,05/02/2024,3.335
Manoteras,06/02/2024,3.390
Manoteras,07/02/2024,3.374
Manoteras,08/02/2024,3.428
Manoteras,09/02/2024,3.555
Manoteras,10/02/2024,2.257
Manoteras,11/02/2024,1.565
Pinar de Chamartín ML1,05/02/2024,1.105
Pinar de Chamartín ML1,06/02/2024,736
Pinar de Chamartín ML1,07/02/2024,899
Pinar de Chamartín ML1,08/02/2024,738
Pinar de Chamartín ML1,09/02/2024,740
Pinar de Chamartín ML1,10/02/2024,438
Pinar de Chamartín ML1,11/02/2024,273
Gran Vía,05/02/2024,19.897
Gran Vía,06/02/2024,20.426
Gran Vía,07/02/2024,20.749
Gran Vía,08/02/2024,22.126
Gran Vía,09/02/2024,23.327
Gran Vía,10/02/2024,26.482
Gran Vía,11/02/2024,21.138
Ventas,05/02/2024,8.444
Ventas,06/02/2024,8.969
Ventas,07/02/2024,9.254
Ventas,08/02/2024,8.968
Ventas,09/02/2024,9.845
Ventas,10/02/2024,8.413
Ventas,11/02/2024,5.361
Canillejas,05/02/2024,8.012
Canillejas,06/02/2024,8.329
Canillejas,07/02/2024,8.718
Canillejas,08/02/2024,8.269
Canillejas,09/02/2024,8.726
Canillejas,10/02/2024,6.146
Canillejas,11/02/2024,4.215
Torre Arias,05/02/2024,6.190
Torre Arias,06/02/2024,6.497
Torre Arias,07/02/2024,6.579
Torre Arias,08/02/2024,6.143
Torre Arias,09/02/2024,6.172
Torre Arias,10/02/2024,3.783
Torre Arias,11/02/2024,2.407
Suanzes,05/02/2024,7.812
Suanzes,06/02/2024,8.405
Suanzes,07/02/2024,8.425
Suanzes,08/02/2024,8.066
Suanzes,09/02/2024,7.297
Suanzes,10/02/2024,3.731
Suanzes,11/02/2024,2.660
Ciudad Lineal,05/02/2024,10.722
Ciudad Lineal,06/02/2024,11.378
Ciudad Lineal,07/02/2024,11.451
Ciudad Lineal,08/02/2024,11.273
Ciudad Lineal,09/02/2024,11.343
Ciudad Lineal,10/02/2024,7.355
Ciudad Lineal,11/02/2024,5.104
Quintana,05/02/2024,8.580
Quintana,06/02/2024,8.942
Quintana,07/02/2024,9.029
Quintana,08/02/2024,8.859
Quintana,09/02/2024,9.578
Quintana,10/02/2024,7.128
Quintana,11/02/2024,4.926
El Carmen,05/02/2024,10.542
El Carmen,06/02/2024,11.217
El Carmen,07/02/2024,11.490
El Carmen,08/02/2024,11.454
El Carmen,09/02/2024,11.569
El Carmen,10/02/2024,7.979
El Carmen,11/02/2024,5.557
Rubén Darío,05/02/2024,7.407
Rubén Darío,06/02/2024,7.910
Rubén Darío,07/02/2024,7.751
Rubén Darío,08/02/2024,7.956
Rubén Darío,09/02/2024,7.258
Rubén Darío,10/02/2024,3.453
Rubén Darío,11/02/2024,2.140
Chueca,05/02/2024,5.399
Chueca,06/02/2024,5.911
Chueca,07/02/2024,6.214
Chueca,08/02/2024,6.541
Chueca,09/02/2024,7.139
Chueca,10/02/2024,6.589
Chueca,11/02/2024,4.699
La Latina,05/02/2024,8.590
La Latina,06/02/2024,9.332
La Latina,07/02/2024,9.698
La Latina,08/02/2024,10.081
La Latina,09/02/2024,11.370
La Latina,10/02/2024,10.832
La Latina,11/02/2024,11.354
Puerta de Toledo,05/02/2024,6.346
Puerta de Toledo,06/02/2024,6.678
Puerta de Toledo,07/02/2024,6.799
Puerta de Toledo,08/02/2024,6.775
Puerta de Toledo,09/02/2024,6.839
Puerta de Toledo,10/02/2024,4.259
Puerta de Toledo,11/02/2024,4.643
Acacias,05/02/2024,3.730
Acacias,06/02/2024,3.972
Acacias,07/02/2024,4.125
Acacias,08/02/2024,4.107
Acacias,09/02/2024,4.573
Acacias,10/02/2024,3.264
Acacias,11/02/2024,2.745
Pirámides,05/02/2024,4.806
Pirámides,06/02/2024,5.015
Pirámides,07/02/2024,5.313
Pirámides,08/02/2024,5.113
Pirámides,09/02/2024,5.264
Pirámides,10/02/2024,4.039
Pirámides,11/02/2024,2.952
Marqués de Vadillo,05/02/2024,10.976
Marqués de Vadillo,06/02/2024,11.466
Marqués de Vadillo,07/02/2024,11.837
Marqués de Vadillo,08/02/2024,11.970
Marqués de Vadillo,09/02/2024,11.585
Marqués de Vadillo,10/02/2024,9.163
Marqués de Vadillo,11/02/2024,6.691
Urgel,05/02/2024,9.471
Urgel,06/02/2024,9.761
Urgel,07/02/2024,9.908
Urgel,08/02/2024,9.797
Urgel,09/02/2024,10.197
Urgel,10/02/2024,7.689
Urgel,11/02/2024,5.520
Vista Alegre,05/02/2024,8.118
Vista Alegre,06/02/2024,8.456
Vista Alegre,07/02/2024,8.439
Vista Alegre,08/02/2024,8.484
Vista Alegre,09/02/2024,8.584
Vista Alegre,10/02/2024,8.206
Vista Alegre,11/02/2024,5.027
Carabanchel,05/02/2024,8.193
Carabanchel,06/02/2024,8.346
Carabanchel,07/02/2024,8.503
Carabanchel,08/02/2024,8.282
Carabanchel,09/02/2024,8.403
Carabanchel,10/02/2024,6.166
