Código_es,hog_pond,pob_pond,edad_pond,pe_hog_pon,renper_pon,renhog_pon,dens_pond,por15_pon,por65_pon,por1664pon,poresp_pon,porext_pon,poractivid,poract_pon,%1mujsol_p,%1hactsolp,%1mujmay_p,%1hommay_p,%1mujmad_p,%1hompad_p,%2adusol_p,%2adusma_p,%2adumen_p,%2adu2mn_p,%2adu3mn_p,%2adu1jv_p,%2a1jv1m_p,%2a1jv2m_p,%3adul_pon,%2ad2jv_p,%2a2j1m_p,%2a2j2m_p,%4adulto_p,%5adulto_p,%15perso_p,%menas_p
"612","514","1315",39.439,2.555,26951.463,69749.616,173.081,0.207,0.151,0.618,0.920,0.057,9.891,0.458,0.067,0.061,0.121,0.040,0.011,0.001,0.076,0.178,0.037,0.053,0.014,0.050,0.013,0.003,0.095,0.047,0.002,0.001,0.041,0.050,0.000,0.000
"915","482","1206",44.291,2.537,21626.888,55809.579,331.651,0.124,0.190,0.671,0.951,0.038,10.471,0.499,0.058,0.051,0.128,0.028,0.011,0.001,0.083,0.217,0.035,0.042,0.008,0.058,0.013,0.004,0.102,0.046,0.005,0.002,0.041,0.044,0.000,0.000
"613","506","1190",39.893,2.377,24847.044,61174.766,145.201,0.172,0.146,0.656,0.868,0.108,12.096,0.489,0.109,0.091,0.112,0.037,0.015,0.001,0.125,0.137,0.039,0.046,0.010,0.042,0.008,0.003,0.078,0.037,0.003,0.000,0.037,0.039,0.000,0.000
"913","579","1332",39.751,2.334,25176.148,60667.681,170.269,0.205,0.152,0.627,0.919,0.064,11.524,0.467,0.096,0.091,0.123,0.042,0.012,0.001,0.115,0.145,0.040,0.040,0.008,0.049,0.006,0.002,0.089,0.032,0.003,0.001,0.038,0.040,0.000,0.000
"204","528","1171",39.936,2.263,29495.807,72704.746,145.133,0.174,0.147,0.657,0.868,0.109,13.597,0.491,0.129,0.108,0.108,0.041,0.008,0.001,0.122,0.132,0.037,0.028,0.007,0.041,0.005,0.002,0.082,0.025,0.002,0.000,0.036,0.041,0.000,0.000
"203","512","1097",39.518,2.174,27278.332,63536.475,134.410,0.158,0.143,0.662,0.840,0.123,15.789,0.492,0.139,0.105,0.109,0.038,0.009,0.000,0.125,0.131,0.036,0.032,0.005,0.041,0.004,0.001,0.073,0.032,0.001,0.000,0.035,0.037,0.000,0.000
"205","557","1288",40.773,2.420,30239.177,80686.566,156.892,0.187,0.152,0.662,0.906,0.095,5.062,0.494,0.110,0.115,0.111,0.044,0.012,0.004,0.119,0.140,0.034,0.031,0.012,0.044,0.007,0.005,0.092,0.031,0.004,0.001,0.037,0.045,0.000,0.001
"407","528","1158",40.665,2.298,32706.095,84663.593,135.888,0.159,0.147,0.682,0.859,0.131,11.286,0.508,0.150,0.127,0.096,0.045,0.011,0.002,0.124,0.125,0.029,0.021,0.008,0.035,0.005,0.002,0.076,0.026,0.003,0.000,0.033,0.046,0.000,0.000
"510","545","1256",40.105,2.437,32266.744,85821.988,133.081,0.156,0.146,0.673,0.846,0.130,9.785,0.503,0.141,0.124,0.098,0.039,0.010,0.001,0.105,0.121,0.023,0.024,0.011,0.039,0.006,0.005,0.086,0.025,0.003,0.000,0.040,0.056,0.001,0.000
"409","552","1186",39.527,2.172,25411.527,58580.294,131.173,0.154,0.145,0.668,0.837,0.125,16.480,0.494,0.149,0.107,0.110,0.040,0.010,0.000,0.133,0.125,0.033,0.026,0.008,0.035,0.003,0.000,0.076,0.026,0.001,0.000,0.029,0.039,0.000,0.000
"202","560","1198",39.078,2.151,22889.277,51990.494,129.673,0.152,0.143,0.657,0.825,0.126,15.450,0.489,0.134,0.101,0.112,0.037,0.010,0.000,0.133,0.121,0.042,0.033,0.006,0.040,0.004,0.000,0.072,0.027,0.000,0.000,0.029,0.033,0.000,0.000
"201","585","1304",40.991,2.264,21091.127,48339.938,156.941,0.149,0.169,0.652,0.857,0.115,8.982,0.487,0.118,0.098,0.115,0.039,0.013,0.000,0.130,0.128,0.045,0.036,0.006,0.049,0.010,0.000,0.074,0.035,0.000,0.000,0.031,0.034,0.000,0.000
