route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8__487___,CRTM,487,MADRID (Aluche)-LEGANÉS (San Nicasio),,3,https://www.crtm.es/8__487___.aspx,8EBF42,FFFFFF
8__488___,CRTM,488,LEGANÉS (San Nicasio)-GETAFE (Getafe Norte),,3,https://www.crtm.es/8__488___.aspx,8EBF42,FFFFFF
8__491___,CRTM,491,MADRID (Aluche)-FUENLABRADA (Bº Naranjo),,3,https://www.crtm.es/8__491___.aspx,8EBF42,FFFFFF
8__492___,CRTM,492,MADRID (Aluche)-FUENLABRADA (P. Granada),,3,https://www.crtm.es/8__492___.aspx,8EBF42,FFFFFF
8__493___,CRTM,493,MADRID (Aluche)-FUENLABRADA (Urb. Loranca),,3,https://www.crtm.es/8__493___.aspx,8EBF42,FFFFFF
8__495___,CRTM,495,MADRID (Príncipe Pío)-ARROYOMOLINOS-MORALEJA DE ENMEDIO,,3,https://www.crtm.es/8__495___.aspx,8EBF42,FFFFFF
8__496___,CRTM,496,FUENLABRADA-MORALEJA DE ENMEDIO-ARROYOMOLINOS (Xanadú),,3,https://www.crtm.es/8__496___.aspx,8EBF42,FFFFFF
8__497___,CRTM,497,LEGANÉS (Parque Sur)-MORALEJA DE ENMEDIO (Las Colinas),,3,https://www.crtm.es/8__497___.aspx,8EBF42,FFFFFF
8__498___,CRTM,498,MÓSTOLES - ARROYOMOLINOS - MORALEJA DE ENMEDIO,,3,https://www.crtm.es/8__498___.aspx,8EBF42,FFFFFF
8__498_A__,CRTM,498A,MÓSTOLES (Móstoles - Central) - ARROYOMOLINOS (Parque de Nieve),,3,https://www.crtm.es/8__498_A__.aspx,8EBF42,FFFFFF
8__499___,CRTM,499,MÓSTOLES-ARROYOMOLINOS,,3,https://www.crtm.es/8__499___.aspx,8EBF42,FFFFFF
8__500___,CRTM,500,PZA. DE ESPAÑA - GLORIETA DE LOS CARMENES,,3,https://www.crtm.es/8__500___.aspx,8EBF42,FFFFFF
8__510___,CRTM,510,ALCORCÓN-VILLAVICIOSA-EL BOSQUE,,3,https://www.crtm.es/8__510___.aspx,8EBF42,FFFFFF
8__510_A__,CRTM,510A,MADRID (Colonia Jardín) - VILLAVICIOSA DE ODÓN - ALCORCÓN,,3,https://www.crtm.es/8__510_A__.aspx,8EBF42,FFFFFF
8__511___,CRTM,511,MADRID (Príncipe Pío)-ALCORCÓN (Por Parque Lisboa),,3,https://www.crtm.es/8__511___.aspx,8EBF42,FFFFFF
8__512___,CRTM,512,MADRID (Príncipe Pío)-ALCORCÓN (Por C. de los Cantos),,3,https://www.crtm.es/8__512___.aspx,8EBF42,FFFFFF
8__513___,CRTM,513,MADRID (Príncipe Pío)-ALCORCÓN (P.I. Urtinsa),,3,https://www.crtm.es/8__513___.aspx,8EBF42,FFFFFF
8__514___,CRTM,514,MADRID (Príncipe Pío) - ALCORCÓN (por Los Castillos),,3,https://www.crtm.es/8__514___.aspx,8EBF42,FFFFFF
8__516___,CRTM,516,MADRID (Príncipe Pío)-ALCORCÓN (Por Universidad Rey Juan Carlos),,3,https://www.crtm.es/8__516___.aspx,8EBF42,FFFFFF
8__517___,CRTM,517,MADRID (Cuatro Vientos) - ALCORCÓN (Fuente Cisneros),,3,https://www.crtm.es/8__517___.aspx,8EBF42,FFFFFF
8__518___,CRTM,518,MADRID (Príncipe Pío)-VILLAVICIOSA DE ODÓN,,3,https://www.crtm.es/8__518___.aspx,8EBF42,FFFFFF
8__519___,CRTM,519,MÓSTOLES-VILLAVICIOSA DE ODÓN,,3,https://www.crtm.es/8__519___.aspx,8EBF42,FFFFFF
8__519_A__,CRTM,519A,MÓSTOLES (Hospital Rey Juan Carlos) por El Soto-VILLAVICIOSA DE ODÓN (El Bosque),,3,https://www.crtm.es/8__519_A__.aspx,8EBF42,FFFFFF
8__520___,CRTM,520,ALCORCÓN-MÓSTOLES,,3,https://www.crtm.es/8__520___.aspx,8EBF42,FFFFFF
8__521___,CRTM,521,MADRID (Príncipe Pío)-MÓSTOLES,,3,https://www.crtm.es/8__521___.aspx,8EBF42,FFFFFF
8__522___,CRTM,522,MADRID (Príncipe Pío)-MÓSTOLES (Por Pistas DGT),,3,https://www.crtm.es/8__522___.aspx,8EBF42,FFFFFF
8__523___,CRTM,523,MADRID (Príncipe Pío)-MÓSTOLES (Villafontana),,3,https://www.crtm.es/8__523___.aspx,8EBF42,FFFFFF
