cod_est,nombre_est,Densidad,Edad_Promedio,POB_TOT,POB_men15,POB_16_64,POB_mas64,POB_esp,POB_ext,POB_ACT
"908",Concha Espina,5766.85955449,45.9945166985,"15304","1970","9625","3709","13491","1813","6083"
"611",Conde de Casal,9472.62947714,47.3952646318519,"22488","2718","13583","6187","20404","2084","8585"
"127",Congosto,5434.69692783,42.37137327,"16760","2366","11651","2743","14299","2461","7367"
"909",Cruz del Rayo,10085.18880366,45.7131805539286,"21601","2385","14152","5064","18027","3574","8943"
"106",Cuatro Caminos,14591.21043338,44.5472828154546,"29833","3073","20798","5962","22870","6963","13146"
"1019",Cuatro Vientos,353.19562854,50.650851398,"2677","301","1360","1016","2561","116","858"
"1005",Cuzco,5640.04764405,46.4122534280952,"16203","1942","10125","4136","14420","1783","6398"
"302",Delicias,17277.86577391,45.8751605141176,"32978","3154","22774","7050","27351","5627","14397"
"410",Diego de León,13896.37642859,45.5499694277778,"30636","2954","20688","6994","24509","6127","13078"
"905",Duque de Pastrana,1381.82613374,43.0669260118182,"7232","1280","4582","1370","6397","835","2897"
"551",El Capricho,1925.97163315,45.9729612275,"7935","1134","4684","2117","7262","673","2960"
"507",El Carmen,13996.12537167,46.7570604452941,"26179","2617","17588","5974","20839","5340","11115"
"304",Embajadores,25399.40296529,45.4518199211111,"35805","3012","25912","6881","27933","7872","16377"
"528",Empalme,4947.65917058,48.3960613495,"15668","1728","9665","4275","12844","2824","6111"
"416",Esperanza,3471.74382301,47.1569893364706,"10838","1403","6539","2896","9106","1732","4130"
"115",Estación del Arte,9310.78745093,45.420641372,"14282","1100","10247","2935","10789","3493","6476"
"751",Estadio Metropolitano,507.83846076,42.561106224,"3248","443","2444","361","3005","243","1545"
"104",Estrecho,18478.07517765,44.2307865638461,"35113","3846","24770","6497","25653","9460","15662"
"915",Estrella,6197.78293438,48.9284867408333,"16165","1869","9322","4974","14725","1440","5888"
"526",Eugenia de Montijo,5782.75205077,49.4335441919048,"13471","1367","7877","4227","11051","2420","4977"
"805",Feria de Madrid,4.24771011,38.23718326,"332","59","249","24","310","22","157"
"716",Francos Rodríguez,8193.64700369,44.8275727669565,"18770","2149","12420","4201","15196","3574","7849"
"1001",Fuencarral,3140.75742332,43.307224720625,"12211","1590","8384","2237","9633","2578","5299"
"704",García Noblejas,9182.28290219,44.08209684,"21658","2689","14873","4096","16077","5581","9401"
"203",Goya,17913.62683907,46.37082415325,"31844","3168","21018","7658","25518","6326","13284"
"111",Gran Vía,7498.768319,43.3046038478261,"20516","1180","16430","2906","13291","7225","10389"
