cod_est;nom_est;edad_media;hog_tot;pob_tot;pers_hog;renta_pers;renta_hog;%pob_ext;%pob_15;%pob_1664;%pob_65;densidad;%hog_1;%hog_2;%hog_3;%hog_4;%hog_5;%hog_6;%hog_7;%hog_8;%hog_9;%hog_10;%hog_11;%hog_12;%hog_13;%hog_14;%hog_15;%hog_16;%hog_17;%hog_18;%hog_19;%hog_20;%hog_21;%hog_22;Eventodromo;conducta;por_pobact;dem_mens_promedio_24_miles;nu_lineas;nu_lin_cerc;nu_businter;in_bus_lr;in_renfe_lr;in_oficinattp;in_eventos;in_parkdisgra;in_parkdispag
252;La Almudena;44,33;4550;11380;2,5;14077,60;36437,94;0,1581;0,1120;0,6379;0,2430;151,19;0,0599;0,0740;0,0970;0,0320;0,0162;0,0060;0,1117;0,1807;0,0448;0,0395;0,0042;0,0682;0,0277;0,0080;0,0809;0,0507;0,0057;0,0013;0,0395;0,0443;0,0007;0,0001;;finest;0,4264;117,26;1;0;0;0;0;0;0;0;0
253;Alsacia;45,72;4712;11959;2,5;16501,56;42912,11;0,0906;0,1346;0,6748;0,1882;156,01;0,0591;0,0732;0,0841;0,0238;0,0180;0,0045;0,1141;0,1367;0,0658;0,0593;0,0109;0,0805;0,0385;0,0065;0,0731;0,0748;0,0059;0,0023;0,0277;0,0379;0,0002;0,0007;;finest;0,4205;178,72;1;0;1;0;0;0;0;0;0
254;Avenida de Guadalajara;44,34;5411;14784;2,7;16035,94;43808,01;0,0832;0,1112;0,7079;0,1614;191,54;0,0568;0,0700;0,0644;0,0213;0,0172;0,0032;0,1205;0,1098;0,0541;0,0459;0,0082;0,1009;0,0350;0,0045;0,0745;0,1082;0,0090;0,0019;0,0287;0,0453;0,0005;0,0007;;finest;0,4522;115,36;1;0;0;0;0;0;0;0;0
255;Las Rosas;42,66;4222;11772;2,8;19356,36;54096,13;0,0590;0,1209;0,7600;0,1197;150,74;0,0701;0,0733;0,0419;0,0166;0,0201;0,0043;0,1251;0,0901;0,0576;0,0636;0,0087;0,1177;0,0409;0,0044;0,0668;0,1404;0,0084;0,0011;0,0181;0,0305;0,0006;0,0004;MTRP;labest;0,4820;111,02;1;0;0;0;0;0;1;0;0
301;Legazpi;43,02;8487;19635;2,3;19996,32;48047,22;0,1593;0,1292;0,7066;0,1467;257,86;0,1265;0,1169;0,0692;0,0239;0,0177;0,0042;0,1687;0,0886;0,0581;0,0532;0,0072;0,0549;0,0179;0,0046;0,0588;0,0422;0,0038;0,0011;0,0268;0,0376;0,0001;0,0005;;finest;0,4499;666,57;2;0;8;0;0;0;0;0;0
302;Delicias;45,85;15252;31752;2,1;19353,35;42081,02;0,1553;0,1039;0,6793;0,2051;415,86;0,1310;0,1313;0,1000;0,0312;0,0160;0,0033;0,1617;0,1119;0,0456;0,0381;0,0061;0,0397;0,0114;0,0033;0,0637;0,0306;0,0042;0,0011;0,0272;0,0300;0,0004;0,0007;;labest;0,4366;305,30;1;1;0;0;0;0;0;0;0
303;Palos de la Frontera;45,92;13626;27878;2,0;19574,24;41859,62;0,1632;0,1037;0,6925;0,2043;366,17;0,1330;0,1393;0,1002;0,0311;0,0162;0,0032;0,1664;0,1105;0,0482;0,0341;0,0073;0,0380;0,0117;0,0041;0,0638;0,0296;0,0039;0,0012;0,0260;0,0314;0,0005;0,0008;;finest;0,4406;228,83;1;0;0;0;0;0;0;0;0
304;Embajadores;45,18;16087;32425;2,0;19066,47;39918,80;0,1905;0,0804;0,6805;0,1866;427,32;0,1491;0,1522;0,0915;0,0300;0,0127;0,0029;0,1573;0,0986;0,0356;0,0213;0,0045;0,0360;0,0082;0,0023;0,0620;0,0247;0,0023;0,0007;0,0290;0,0255;0,0003;0,0007;;finest;0,4574;534,61;2;1;0;0;0;0;0;0;0
305;Lavapiés;42,91;18890;36108;1,9;16580,47;33627,90;0,2926;0,0756;0,7456;0,1526;483,53;0,1778;0,1996;0,0753;0,0331;0,0117;0,0020;0,1776;0,0744;0,0308;0,0155;0,0038;0,0291;0,0069;0,0026;0,0581;0,0141;0,0021;0,0009;0,0255;0,0318;0,0007;0,0006;;finest;0,4942;342,35;1;0;0;0;0;0;0;0;0
307;Callao;43,61;11167;20817;1,9;20620,00;41659,11;0,3305;0,0588;0,7642;0,1538;275,16;0,1765;0,2182;0,0650;0,0383;0,0078;0,0031;0,1875;0,0674;0,0211;0,0111;0,0024;0,0269;0,0049;0,0023;0,0583;0,0149;0,0014;0,0008;0,0300;0,0375;0,0010;0,0004;;finvol;0,4981;652,19;2;0;0;0;0;0;0;0;0
